stan,35.000 €,Beograd,Palilula opština,Padinska Skela,Dejana Smiljkovića,36m²,,1 soba,uknjiženo,etažno grejanje,renovirano,,prizemlje,,,,,,namešteno,,useljivo,,,,,,7760
stan,92.700 €,Novi Sad,Gradske lokacije,Detelinara,Nova Detelinara,51m²,,2 sobe,uknjiženo,centralno grejanje,,,3/5 spratova (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,kupatilo,,,,,,,,,479806
stan,62.950 €,Novi Sad,Gradske lokacije,Petrovaradin,Petrovaradin,44m²,,2 sobe,uknjiženo,,u izgradnji,,2/2 sprata,,terasa,,,,,,,,,,,,1017443
stan,30.000 €,Kragujevac,Gradske lokacije,Aerodrom,Kajuhova,38m²,,1.5 soba,,centralno grejanje,renovirano,,5/5 spratova,,,1 parking mesto,,kupatilo,,,,,,,,,p-04149
stan,99.950 €,Kragujevac,Gradske lokacije,Stari Grad,Slobodana Perovića,63m²,,2.5 sobe,,etažno grejanje,novo,,5/7 spratova (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,"kupatilo, toalet",prazno,,,,,,,,p-04071
stan,67.000 €,Kragujevac,Gradske lokacije,Stari Grad,Branka Radičevića,51m²,,2 sobe,uknjiženo,grejanje na struju,renovirano,,1/4 sprata (nije poslednji sprat),,terasa,,1 garažno mesto,kupatilo,namešteno,interfon,,,,,,,p-04059
stan,46.350 €,Kragujevac,Gradske lokacije,Stari Grad,Lepenički bulevar,55m²,,1.5 soba,uknjiženo,centralno grejanje,potrebno renoviranje,,7. sprat,,,1 parking mesto,,kupatilo,namešteno,,,,,,,,p-04052
stan,45.000 €,Kragujevac,Gradske lokacije,Stari Grad,Lepenički bulevar,58m²,,2 sobe,uknjiženo,centralno grejanje,renovirano,,8/9 spratova (nije poslednji sprat),ima lift (1),prilaz za invalide,1 parking mesto,,kupatilo,prazno,interfon,,,,,,,p-04040
stan,75.000 €,Kragujevac,Gradske lokacije,Stari Grad,Kneza Miloša,70m²,,3 sobe,uknjiženo,centralno grejanje,renovirano,,3/6 spratova (nije poslednji sprat),ima lift (1),terase (2),1 parking mesto,,kupatilo,polunamešteno,,,,,,,,p-03995
stan,113.300 €,Kragujevac,Gradske lokacije,Erdoglija,Daničićeva,106m²,,4 sobe,uknjiženo,,u izgradnji,,6/7 spratova (nije poslednji sprat),ima lift (1),"prilaz za invalide, terase (2)",1 parking mesto,,kupatila (2),namešteno,interfon,,,,,,,p-03940
stan,74.200 €,Kragujevac,Gradske lokacije,Stari Grad,Cara Lazara,82m²,,3.5 sobe,uknjiženo,etažno grejanje,novo,,4/4 sprata,,terasa,1 parking mesto,,kupatilo,prazno,,,,,,,,p-03945
stan,116.540 €,Novi Sad,Gradske lokacije,Stari Grad,"CENTAR, NOVI SAD",63m²,,3 sobe,nije uknjiženo,centralno grejanje,,,3/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,useljivo,,,,,,1089655
stan,854.000 €,Beograd,Savski Venac,Dedinje,Dedinje,219m²,,4 sobe,,,,,4. sprat,,bazen,,,,,,,,,,,,80
stan,230.000 €,Beograd,Vračar,Čubura,Maksima Gorkog,92m²,,4 sobe,uknjiženo,centralno grejanje,novo,,1/4 sprata (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,kupatilo,prazno,interfon,,,,,,,4422
stan,135.000 €,Beograd,Novi Beograd,Blok 28,Bulevar Milutina Milankovića,56m²,,2 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,,8/10 spratova (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,,,namešteno,,useljivo,,,,,,102373031
stan,84.000 €,Novi Sad,Gradske lokacije,Stari Grad,"CENTAR, NOVI SAD",52m²,,2 sobe,uknjiženo,centralno grejanje,,,4/5 spratova (nije poslednji sprat),ima lift (1),,,,,,,useljivo,,,,,,1092195
stan,40.000 €,Sombor,Gradske lokacije,Selenča,Selenča,52m²,,2.5 sobe,uknjiženo,grejanje na struju,,,4. sprat,,terasa,"1 parking mesto, javni parking u zoni",,kupatilo,,,,,,,,,156
stan,163.000 €,Beograd,Vračar,Pravni fakultet - Vračar,Beogradska,60m²,,2 sobe,uknjiženo,norveški radijatori,,2000. godine,5/5 spratova,ima lift (1),"podrum, terasa",,,,,"telefon, interfon",,,,,,,18197
stan,950.000 €,Beograd,Vračar,Krunski Venac,Molerova,188m²,,7 soba,uknjiženo,,renovirano,1934. godine,1/3 sprata (nije poslednji sprat),,terasa,,,,,"telefon, kablovska, internet, interfon, klima",,,,,,,18186
stan,108.150 €,Novi Sad,Gradske lokacije,Grbavica,"GRBAVICA, NOVI SAD",56m²,,2 sobe,uknjiženo,centralno grejanje,,,1/5 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,useljivo,,,,,,1092570
stan,64.380 €,Novi Sad,Gradske lokacije,Detelinara,"DETELINARA, NOVI SAD",37m²,,1.5 soba,uknjiženo,centralno grejanje,,,1/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,useljivo,,,,,,1092468
stan,84.740 €,Novi Sad,Gradske lokacije,Novo Naselje,"N. NASELJE BISTRICA, NOVI SAD",51m²,,3 sobe,nije uknjiženo,grejanje na gas,,,2/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,useljivo,,,,,,1090581
stan,163.770 €,Novi Sad,Gradske lokacije,Bulevar Evrope,"BULEVAR EVROPE, NOVI SAD",106m²,,4 sobe,uknjiženo,centralno grejanje,,,8/12 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,,useljivo,,,,,,1092418
stan,48.410 €,Novi Sad,Gradske lokacije,Banatić,"ZELEZNICKA STANICA, NOVI SAD",27m²,,1.5 soba,uknjiženo,centralno grejanje,,,visoko prizemlje/5 spratova (nije poslednji sprat),,,,,,,,useljivo,,,,,,1092411
stan,143.000 €,Beograd,Čukarica opština,Čukarica,Arčibalda Rajsa,79m²,,3 sobe,uknjiženo,centralno grejanje,,2008. godine,1/4 sprata (nije poslednji sprat),ima lift (1),"podrum, terasa",1 parking mesto,,,,"telefon, interfon",,,,,,,18150
stan,450.000 €,Beograd,Stari Grad opština,Kalemegdan,Pariska,110m²,,5 soba,uknjiženo,etažno grejanje,,,2/2 sprata,,terasa,1 parking mesto,,,,interfon,,,,,,,18118
stan,135.000 €,Beograd,Vračar,Južni Bulevar,Gospodara Vučića,100m²,,2 sobe,uknjiženo,etažno grejanje,,1968. godine,4/4 sprata,,terasa,,,,,"telefon, interfon",,,,,,,18116
stan,98.500 €,Beograd,Novi Beograd,Bežanijski Blokovi,Blok 64,50m²,,2.5 sobe,,centralno grejanje,,,16/17 spratova (nije poslednji sprat),ima lift (1),podrum,,,,polunamešteno,klima,,,,,,,236
stan,187.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,53m²,,2 sobe,,,,,10/13 spratova (nije poslednji sprat),,,,,,prazno,,,,,,,,202
stan,72.000 €,Novi Sad,Gradske lokacije,Novo Naselje,"N. NASELJE BISTRICA, NOVI SAD",62m²,,3 sobe,uknjiženo,centralno grejanje,,,4/5 spratova (nije poslednji sprat),,terasa,,,,,,useljivo,,,,,,1092294
stan,71.000 €,Beograd,Novi Beograd,Blok 71,Mileve Marić Ajnštajn,34m²,,1 soba,nije uknjiženo,centralno grejanje,novo,,1/6 spratova (nije poslednji sprat),ima lift (1),lođa,1 parking mesto,,,namešteno,klima,useljivo,,,,,,102374323
stan,234.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,79m²,,3 sobe,,,,,1/23 sprata (nije poslednji sprat),,,,,,prazno,,,,,,,,203
stan,101.700 €,Novi Sad,Gradske lokacije,Veternik,Veternička Rampa,79m²,,3.5 sobe,,grejanje na gas,u izgradnji,,prizemlje/2 sprata (nije poslednji sprat),,terasa,"1 parking mesto, u dvorištu zgrade",,"kupatilo, toalet",,,,,,,,,
stan,60.000 €,Beograd,Novi Beograd,Bežanijska kosa,Pere Segedinca,30m²,,1 soba,uknjiženo,grejanje na struju,uobičajeno stanje,1979. godine,1/4 sprata (nije poslednji sprat),,podrum,1 parking mesto,,kupatilo,prazno,"telefon, kablovska, internet, interfon",,,,,,,35824
stan,219.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,75m²,,2 sobe,,,novo,,1/23 sprata (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,1 garažno mesto,,prazno,"telefon, kablovska, internet, video nadzor, interfon, klima",,,,,,,62
stan,519.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,142m²,,4 sobe,,,,,14/16 spratova (nije poslednji sprat),,,,,,prazno,,,,,,,,63
stan,176.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,57m²,,2 sobe,,,novo,,1/16 spratova (nije poslednji sprat),ima lift (1),terasa,1 parking mesto,1 garažno mesto,,prazno,"telefon, kablovska, internet, video nadzor, interfon, klima",,,,,,,64
stan,486.888 €,Beograd,Savski Venac,Beograd na vodi,Beograd na vodi,61m²,,2 sobe,,,,,23/42 spratova (nije poslednji sprat),,,,,,prazno,,,,,,,,67
stan,451.000 €,Beograd,Savski Venac,Dedinje,Dedinje,210m²,,5 soba,uknjiženo,,novo,,4/5 spratova (nije poslednji sprat),ima lift (1),,1 parking mesto,1 garažno mesto,,,"kablovska, internet, klima",useljivo,,,,,,156
stan,108.150 €,Novi Sad,Gradske lokacije,Stari Grad,Kej,63m²,,2 sobe,uknjiženo,centralno grejanje,uobičajeno stanje,1975. godine,1/5 spratova (nije poslednji sprat),ima lift (1),terasa,,1 garažno mesto,,,,,,,,,,1004765
stan,230.000 €,Beograd,Zemun opština,Zemun,Banijska,116m²,,5 soba,uknjiženo,etažno grejanje,,2018. godine,2/3 sprata (nije poslednji sprat),,lođe (2),,,"kupatila (2), toaleti (2)",,,,,,,,"18, 612, 45, 81, 81L, 83, 85",
stan,210.000 €,Beograd,Savski Venac,Centar,Kneza Miloša,86m²,,3 sobe,uknjiženo,etažno grejanje,renovirano,,5/6 spratova (nije poslednji sprat),ima lift (1),terasa,,,,,"telefon, interfon",,,,,,,18103
stan,371.900 €,Beograd,Stari Grad opština,Kalemegdan,Dunavska,120m²,,4 sobe,uknjiženo,centralno grejanje,novo,2020. godine,5/9 spratova (nije poslednji sprat),ima lift (1),,,1 garažno mesto,,,"telefon, interfon",,,,,,,17072
