cena,povrsina,grejanje,spratnost,infrastruktura,udaljenost_od_centra
69900.0,33.0,norveški radijatori,prizemlje,nema,5.417664174912384
90000.0,60.0,centralno grejanje,1,nema,7.191437108066295
124250.0,71.0,centralno grejanje,4,ima,6.262601807558517
77000.0,57.0,TA peć,3,ima,4.888136580463704
105000.0,67.0,etažno grejanje,2,nema,3.215018856368662
115900.0,61.0,centralno grejanje,1,ima,5.310505356445872
149000.0,78.0,etažno grejanje,5,ima,3.5333962755164707
93000.0,67.0,etažno grejanje,3,ima,4.983719277260633
103000.0,51.0,centralno grejanje,1,nema,3.479047970110821
199500.0,100.0,centralno grejanje,3,ima,3.2462259206584285
111000.0,62.0,etažno grejanje,prizemlje,ima,5.304482623822636
92700.0,50.0,etažno grejanje,1,ima,5.304482623822636
91200.0,46.0,centralno grejanje,7,ima,5.954522512176031
147000.0,90.0,grejanje na gas,2,ima,8.258671230883156
295888.0,88.0,centralno grejanje,2,ima,0.6491339966627081
299888.0,91.0,centralno grejanje,2,ima,0.6491339966627081
490888.0,143.0,centralno grejanje,2,ima,0.6491339966627081
282888.0,91.0,centralno grejanje,2,ima,0.6491339966627081
362888.0,109.0,centralno grejanje,2,ima,0.6491339966627081
118000.0,115.0,centralno grejanje,3,ima,9.18213622475052
126000.0,52.0,centralno grejanje,4,nema,4.297332714165572
95000.0,76.0,centralno grejanje,6,ima,6.656341425045192
67500.0,45.0,centralno grejanje,prizemlje,nema,5.996472446468091
78000.0,43.0,etažno grejanje,prizemlje,ima,6.506360209804863
160000.0,134.0,grejanje na gas,2,ima,7.818626996691616
280000.0,124.0,etažno grejanje,2,ima,4.423934480912483
205000.0,90.0,centralno grejanje,2,nema,5.534553728293426
170000.0,190.0,centralno grejanje,prizemlje,ima,7.976578889369227
295000.0,117.0,centralno grejanje,2,ima,5.725380010299472
135000.0,44.0,centralno grejanje,1,nema,0.8560962461950152
129000.0,50.0,centralno grejanje,prizemlje,ima,2.648160282449717
105000.0,48.0,grejanje na struju,2,nema,0.5130494638722838
204000.0,78.0,etažno grejanje,3,ima,2.863768889119441
118500.0,79.0,centralno grejanje,prizemlje,ima,5.809226980679746
55000.0,54.0,etažno grejanje,3,nema,7.886997397421902
51000.0,50.0,etažno grejanje,3,nema,7.886997397421902
209000.0,56.0,centralno grejanje,2,ima,0.5908645102328752
130000.0,45.0,centralno grejanje,prizemlje,ima,4.849193476642133
440000.0,160.0,etažno grejanje,2,ima,4.291436980957841
120000.0,55.0,etažno grejanje,prizemlje,ima,2.8235172688362313
135000.0,62.0,grejanje na struju,3,ima,1.070080551621901
118000.0,115.0,centralno grejanje,4,ima,9.18213622475052
91200.0,46.0,centralno grejanje,7,ima,5.954522512176031
73000.0,49.0,grejanje na struju,prizemlje,nema,5.482195906771167
140000.0,62.0,centralno grejanje,3,nema,3.7025546503348488
78900.0,40.0,etažno grejanje,3,nema,6.981740222984074
50000.0,33.0,centralno grejanje,1,ima,7.421892561067746
100000.0,92.0,centralno grejanje,3,ima,10.48821041960965
105000.0,38.0,centralno grejanje,1,nema,0.34639317163167943
203000.0,76.0,centralno grejanje,2,ima,2.9657232937280513
95000.0,44.0,centralno grejanje,prizemlje,nema,5.224788083448762
199000.0,90.0,centralno grejanje,2,nema,5.534553728293426
183500.0,94.0,centralno grejanje,4,ima,2.1081695218505523
19500.0,26.0,grejanje na struju,prizemlje,nema,1.748708858031744
67000.0,28.0,grejanje na struju,1,nema,8.960203662529686
220000.0,63.0,centralno grejanje,2,ima,0.4044420498064891
248000.0,86.0,etažno grejanje,2,ima,0.8691753086155911
190000.0,93.0,grejanje na struju,2,ima,0.8414132210315118
84500.0,97.0,grejanje na gas,prizemlje,ima,8.035238336368336
